zip,county_name,2020_mean_fmr,2019_mean_fmr,2018_mean_fmr,2017_mean_fmr,2016_mean_fmr,2015_mean_fmr,2014_mean_fmr,2013_mean_fmr,2012_mean_fmr,2011_mean_fmr
33020,Broward County FL,1731.6,1630.6,1564,1469,1396.8,1411.8,1408.6,1381.8,1356.8,1468.6
33021,Broward County FL,1731.6,1630.6,1564,1469,1396.8,1411.8,1408.6,1381.8,1356.8,1468.6
33023,Broward County FL,1731.6,1630.6,1564,1469,1396.8,1411.8,1408.6,1381.8,1356.8,1468.6
33024,Broward County FL,1731.6,1630.6,1564,1469,1396.8,1411.8,1408.6,1381.8,1356.8,1468.6
33025,Broward County FL,1731.6,1630.6,1564,1469,1396.8,1411.8,1408.6,1381.8,1356.8,1468.6
33026,Broward County FL,1731.6,1630.6,1564,1469,1396.8,1411.8,1408.6,1381.8,1356.8,1468.6
33027,Broward County FL,1731.6,1630.6,1564,1469,1396.8,1411.8,1408.6,1381.8,1356.8,1468.6
33028,Broward County FL,1731.6,1630.6,1564,1469,1396.8,1411.8,1408.6,1381.8,1356.8,1468.6
33029,Broward County FL,1731.6,1630.6,1564,1469,1396.8,1411.8,1408.6,1381.8,1356.8,1468.6
33030,Miami-Dade County FL,1755.8,1568,1451.4,1389.4,1331.4,1254.2,1258.4,1211,1198.4,1261.2
33031,Miami-Dade County FL,1755.8,1568,1451.4,1389.4,1331.4,1254.2,1258.4,1211,1198.4,1261.2
33032,Miami-Dade County FL,1755.8,1568,1451.4,1389.4,1331.4,1254.2,1258.4,1211,1198.4,1261.2
33033,Miami-Dade County FL,1755.8,1568,1451.4,1389.4,1331.4,1254.2,1258.4,1211,1198.4,1261.2
33035,Miami-Dade County FL,1755.8,1568,1451.4,1389.4,1331.4,1254.2,1258.4,1211,1198.4,1261.2
33036,Monroe County FL,1888,1770.4,1608.2,1699,1487.8,1672,1397.4,1569,1558.6,1482.6
